source,user,timestamp,information
Github,Jianing Fu,2020-12-22T00:21:09Z,"complete covid data, bug fix, add router link to playfair chapter"
Github,Dan Jutan,2020-12-21T17:40:55Z,peabody is docs
Github,Dan Jutan,2020-12-21T15:08:55Z,deal with objects before first section
Github,Dan Jutan,2020-12-21T14:45:36Z,basic inline slot inner text support
Github,Dan Jutan,2020-12-21T02:55:40Z,Merge branch 'master' of https://github.com/GeorgiaTechDHLab/DataByDesign
Github,Dan Jutan,2020-12-21T02:55:20Z,footnote & inline slot support
Github,Dan Jutan,2020-12-21T01:46:33Z,fix type function error
Github,Jianing Fu,2020-12-21T01:45:06Z,Merge pull request #70 from GeorgiaTechDHLab/playfair-covid-visadded uk covid data
Github,Jianing Fu,2020-12-21T01:43:03Z,added uk covid data
Github,Jianing Fu,2020-12-20T00:39:06Z,Merge pull request #69 from GeorgiaTechDHLab/playfair-covid-visadded vis back
Github,Jianing Fu,2020-12-20T00:38:03Z,added vis back
Github,Dan Jutan,2020-12-20T00:14:31Z,Merge branch 'docs-integration'
Github,Dan Jutan,2020-12-20T00:10:01Z,tag fixes in playfair
Github,Dan Jutan,2020-12-19T23:44:52Z,no docsconfig file warning
Github,Dan Jutan,2020-12-18T22:09:50Z,Merge pull request #67 from GeorgiaTechDHLab/dxd-textUpdated Playfair text and images
Github,Dan Jutan,2020-12-18T22:09:40Z,Merge branch 'master' into dxd-text
Github,Lauren Klein,2020-12-18T21:09:10Z,Updated Playfair chapter text and images
Github,Dan Jutan,2020-12-16T15:21:25Z,working parseInner function
Github,Dan Jutan,2020-12-16T14:46:29Z,broken parseInner function
Github,Dan Jutan,2020-12-14T18:17:48Z,delete docs config from repo
Github,Dan Jutan,2020-12-14T18:02:39Z,doc renderer supports sections
Github,Dan Jutan,2020-12-07T19:39:56Z,fix scrollytell glitching
Github,Dan Jutan,2020-12-07T15:35:30Z,fix notebook stickiness
Github,Dan Jutan,2020-11-17T01:14:34Z,Merge pull request #66 from GeorgiaTechDHLab/playfairPlayfair
Github,Lauren Klein,2020-11-16T20:47:33Z,Created test chapter
Github,Dan Jutan,2020-11-16T18:09:16Z,timeline tweaking
Github,Dan Jutan,2020-11-16T17:42:37Z,womens rights editable
Github,Dan Jutan,2020-11-16T16:45:11Z,embarassingly long overdue git push
Github,Jianing Fu,2020-11-12T23:50:47Z,added draft and bumpy line & animation
Github,Jianing Fu,2020-11-05T00:43:46Z,added bumpy line
Github,Jianing Fu,2020-10-29T21:19:13Z,scrollytell working
Github,Jianing Fu,2020-10-24T22:24:14Z,reading csv
Github,Jianing Fu,2020-10-18T00:29:41Z,add playfair chapter
Github,Dan Jutan,2020-09-25T14:49:54Z,peabody multi canvas
Github,Dan Jutan,2020-09-24T23:00:02Z,update production api url
Github,Dan Jutan,2020-09-18T14:11:57Z,https attempted fix
Github,Dan Jutan,2020-09-18T02:57:56Z,move legends down
Github,Dan Jutan,2020-09-18T02:34:52Z,"dev mode warning, footnote update"
Github,Dan Jutan,2020-09-18T01:55:35Z,Merge pull request #65 from GeorgiaTechDHLab/homepage_fixfixed homepage issues
Github,Jianing Fu,2020-09-11T19:03:21Z,update Qing's image
Github,Jianing Fu,2020-09-11T15:31:20Z,homepage updated
Github,Dan Jutan,2020-09-10T00:55:24Z,"when in production, use hosted server"
Github,Jianing Fu,2020-09-03T20:53:31Z,added credit pictures
Github,Dan Jutan,2020-09-02T19:37:41Z,pushing current version of quiz + mutable
Github,Jianing Fu,2020-08-30T20:57:28Z,fixed timeline pic pose
Github,Jianing Fu,2020-08-28T21:02:56Z,fixed homepage
Github,Jianing Fu,2020-08-28T00:32:44Z,fixed hp
Github,Jianing Fu,2020-08-22T22:51:45Z,fixed homepage issues
Github,Dan Jutan,2020-08-17T16:09:09Z,bunch of notebook/highlighting bug fixes
Github,Dan Jutan,2020-08-14T23:55:08Z,fix conflicts
Github,Dan Jutan,2020-08-14T23:54:04Z,get rid of double timeline bug in debugging
Github,Dan Jutan,2020-08-14T23:49:58Z,get rid of double timeline bug in debugging
Github,Dan Jutan,2020-08-14T23:32:46Z,filter out header elements when dividing subsections
Github,Dan Jutan,2020-08-14T21:10:10Z,update peabody text
Github,Dan Jutan,2020-08-14T19:38:17Z,peabody grid and peabody canvas interreactive
